Date,Product,Revenue
2026-01-05,Laptop,1200.00
2026-01-06,Mouse,45.99
2026-01-07,Keyboard,89.50
2026-01-08,Monitor,349.99
2026-01-09,Headphones,129.95
2026-01-10,Webcam,79.99
2026-01-11,Docking Station,199.00
2026-01-12,USB-C Cable,19.99
2026-02-04,Laptop,1600.00
2026-02-05,Mouse,52.50
2026-02-06,Keyboard,95.00
2026-02-07,Monitor,399.99
2026-02-08,Headphones,149.95
2026-02-09,Webcam,89.99
2026-02-10,Docking Station,220.00
2026-03-03,Laptop,2000.00
2026-03-04,Mouse,60.00
2026-03-05,Keyboard,110.00
2026-03-06,Monitor,449.99
2026-03-07,Headphones,169.95
2026-03-08,Docking Station,250.00
2026-04-02,Laptop,1500.00
2026-04-03,Mouse,50.00
2026-04-04,Keyboard,90.00
2026-04-05,Monitor,300.00
2026-04-06,Headphones,120.00
2026-05-01,Laptop,1200.00
2026-05-02,Mouse,40.00
2026-05-03,Keyboard,70.00
2026-05-04,Monitor,250.00
2026-06-01,Laptop,900.00
2026-06-02,Mouse,30.00
2026-06-03,Keyboard,55.00
2026-06-04,Monitor,180.00
