Date,Product,Revenue
2026-01-04,Cloud Plan Basic,320.00
2026-01-08,Cloud Plan Pro,890.00
2026-01-11,Onboarding Service,150.00
2026-01-15,Cloud Plan Basic,340.50
2026-01-19,Cloud Plan Pro,910.25
2026-01-22,Onboarding Service,175.00
2026-01-26,Cloud Plan Basic,355.00
2026-02-02,Cloud Plan Pro,950.00
2026-02-05,Onboarding Service,190.50
2026-02-09,Cloud Plan Basic,410.00
2026-02-13,Cloud Plan Pro,1020.75
2026-02-16,Onboarding Service,210.00
2026-02-20,Cloud Plan Basic,445.50
2026-02-24,Cloud Plan Pro,1080.00
2026-02-27,Onboarding Service,225.00
2026-03-03,Cloud Plan Basic,480.00
2026-03-07,Cloud Plan Pro,1150.50
2026-03-10,Onboarding Service,250.00
2026-03-14,Cloud Plan Basic,520.25
2026-03-18,Cloud Plan Pro,1220.00
2026-03-21,Onboarding Service,270.00
2026-03-25,Cloud Plan Basic,560.00
2026-03-28,Cloud Plan Pro,1310.50
2026-04-01,Onboarding Service,295.00
2026-04-05,Cloud Plan Basic,610.75
2026-04-09,Cloud Plan Pro,1400.00
2026-04-12,Onboarding Service,320.50
2026-04-16,Cloud Plan Basic,655.00
2026-04-20,Cloud Plan Pro,1490.25
2026-04-24,Onboarding Service,345.00
2026-04-28,Cloud Plan Basic,700.00
2026-05-02,Cloud Plan Pro,1590.00
2026-05-06,Onboarding Service,375.50
2026-05-10,Cloud Plan Basic,750.25
2026-05-14,Cloud Plan Pro,1690.00
2026-05-18,Onboarding Service,405.00
2026-05-22,Cloud Plan Basic,805.00
2026-05-26,Cloud Plan Pro,1800.50
2026-05-30,Onboarding Service,435.00
2026-06-03,Cloud Plan Basic,860.75
2026-06-07,Cloud Plan Pro,1920.00
2026-06-11,Onboarding Service,470.00
2026-06-15,Cloud Plan Basic,920.00
2026-06-19,Cloud Plan Pro,2050.25
2026-06-23,Onboarding Service,505.50
2026-06-27,Cloud Plan Basic,985.00
2026-06-30,Cloud Plan Pro,2190.00
